SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
41,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 1.00,2.5
42,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 2.00,3
43,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 3.00,4
44,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 4.00,4
45,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 5.00,5.5
46,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 6.00,7.5
47,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 8.00,13
48,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 9.00,2.5
49,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 10.00,4.5
50,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 11.00,5
51,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 12.00,6.5
52,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 13.00,8
53,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 14.00,11
54,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 15.00,12
55,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 16.00,12.5
56,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 17.00,12.5
57,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 18.00,12.5
58,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 19.00,13
59,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 20.00,15
60,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 21.00,18
61,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 22.00,20.5
62,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,08-10-2022 23.00,24.5
63,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 0.00,25
64,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 1.00,25
65,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 2.00,26
66,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 3.00,29
67,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 4.00,32
68,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 5.00,35.5
69,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 6.00,37
70,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 7.00,39
71,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 8.00,41.5
72,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 9.00,2
73,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 10.00,4
74,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 11.00,4.5
75,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 12.00,4.5
76,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 13.00,6
77,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 14.00,7.5
78,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 15.00,7.5
79,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 16.00,8
80,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 17.00,9
81,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 18.00,11
82,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 19.00,12.5
83,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 20.00,14.5
84,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 21.00,15.5
85,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 22.00,18.5
86,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,09-10-2022 23.00,18.5
87,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 0.00,20.5
88,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 1.00,21.5
89,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 2.00,22.5
90,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 3.00,25
91,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 4.00,28.5
92,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 5.00,30
93,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 6.00,30.5
94,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 7.00,33
95,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 8.00,37.5
96,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 9.00,4
97,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 10.00,5
98,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 11.00,8.5
99,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 12.00,10
100,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 13.00,11.5
101,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 14.00,13
102,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 15.00,13.5
103,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 16.00,14
104,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 17.00,14
105,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-10-2022 18.00,14
106,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-10-2022 3.00,14
107,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-10-2022 4.00,14
108,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-10-2022 5.00,14
109,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-10-2022 8.00,14
110,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,20-10-2022 20.00,0.5
