District,Human_fatality,Human_injured,Population,Mean_Flood_Duration
Almora,0,0,618943,
Bageshwar,40,13,256564,2.0
Chamoli,1546,75,426828,4.0
Champawat,26,14,293584,2.0
Dehradun,232,17,2132260,6.0
Garhwal,171,7,727119,7.0
Haridwar,15,0,2449262,6.0
Nainital,91,6,1104668,3.0
Pithoragarh,1636,21,510103,3.0
Rudraprayag,1324,79,248925,2.0
Tehri Garhwal,102,6,665938,2.0
Udham Singh Nagar,26,3,2171345,2.0
Uttarkashi,1373,25,410687,5.0
