UEI,Start_Date,End_Date,Duration_Days,Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-2009-0074,2009-07-28 00:00:00,2009-07-28 00:00:00,1.0,heavy rains,,Garhwal,Uttarakhand,,,,,6.0,,,,6 persons died.,Landslide reported.,IMD,,52,5
UEI-IMD-FL-2009-0076,2009-08-08 00:00:00,2009-08-08 00:00:00,1.0,severe flood (cloud burst),,Pithoragarh,Uttarakhand,,,,,43.0,,,100.0,i) About 43 persons died. i) ii) About 100 cattle heads perished.,i)About 12 houses trapped under debris. ii) Landslide reported.,IMD,,53,5
UEI-IMD-FL-2010-0135,2010-07-05 00:00:00,2010-07-05 00:00:00,1.0,heavy rains,,Mathura,Uttarakhand,,,,,6.0,2.0,,,"6 persons died,2 others injured.",,IMD,,167,5
UEI-IMD-FL-2010-0136,2010-08-18 00:00:00,2010-08-18 00:00:00,1.0,heavy rains,,Bageshwar,Uttarakhand,,,,,18.0,8.0,,,"18 children died,8 others injured due to school roof collapsed.",i) Landslide reported. ii) Damage to public property reported.,IMD,,46,5
UEI-IMD-FL-2010-0140,2010-09-18 00:00:00,2010-09-19 00:00:00,2.0,heavy rains,,"Almora, Dehradun,Nainital",Uttarakhand,,,,,20.0,,,,About 20 persons buried alive in the landslide incidence.,i) Cloud burst reported. ii) Many people rendered homeless.,IMD,,"45, 49, 51",5
UEI-IMD-FL-2011-0098,2011-07-21 00:00:00,2011-07-21 00:00:00,1.0,heavy rains,,Almora,Uttarakhand,,,,,2.0,,,,2 persons died in different incidences.,,IMD,,45,5
UEI-IMD-FL-2011-0099,2011-08-23 00:00:00,2011-08-23 00:00:00,1.0,heavy rains,,Parts of Uttar Kashiakhand,Uttarakhand,,,,,5.0,,,,5 labourers died due to wall collapse.,,IMD,,,5
UEI-IMD-FL-2012-0077,2012-08-04 00:00:00,2012-08-04 00:00:00,1.0,heavy rains (cloud burst),,Chamoli,Uttarakhand,,,,,7.0,20.0,,,"i) One child washed away. ii) 2 children died in a house collapse. iii) 3 jawans of the fire brigade,2 others died in Gangitri. iv) 19 labours missing from Assi Ganga Hydel project.",i) Landslides reported.ii) About 30 houses washed away. iii) Gangotri bridge collapsed. iv) Pilgrims of Badrinath-Kedarnath stranded.  v) About 250 falilies shifted to safer places.,IMD,,47,5
UEI-IMD-FL-2012-0078,2012-09-13 00:00:00,2012-09-13 00:00:00,1.0,heavy rains (cloud burst),,Rudra Prayag,Uttarakhand,,,,,7.0,55.0,,,i) 7 persons died in house collapse. ii) About 40 persons missing. iii) About 15 others injured.,"1) In Ukhimath area about 12 kachcha houses collapsed from 8 villages, ii) Landslides reported at national highways Hrishikesh-Badrinath,Hrishikesh-Gangotri.",IMD,,54,5
UEI-IMD-FL-2013-0131,2013-06-14 00:00:00,2013-06-18 00:00:00,5.0,"heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places.",,"Chamoli, Pithoragarh, Rudra Prayag,Uttar Kashi Kashi",Uttarakhand,,,,,5000.0,,,1000.0,"i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished.","i) More than thousands of pilgrims of Char Dham on the Gangotri,Yamunotri routes, Hemkund, Roopkunda,tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial,residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.",IMD,,"47, 53, 54, None",5
UEI-IMD-FL-2014-0086,2014-07-27 00:00:00,2014-07-27 00:00:00,1.0,heavy rains,,Pithoragarh,Uttarakhand,,,,,6.0,,,,6 persons died in a landslide in Pangla village.,,IMD,,53,5
UEI-IMD-FL-2014-0087,2014-07-31 00:00:00,2014-07-31 00:00:00,1.0,heavy rains,,Tehri Garhwal,Uttarakhand,,,,,5.0,,,,5 persons died in a landslide in Navthana village.,,IMD,,55,5
UEI-IMD-FL-2014-0088,2014-08-11 00:00:00,2014-08-11 00:00:00,1.0,heavy rains,,Parts of Uttar Kashiakhand,Uttarakhand,,,,,,,,,5 persons died.,,IMD,,,5
UEI-IMD-FL-2015-0104,2015-07-26 00:00:00,2015-07-26 00:00:00,1.0,heavy rains,,Parts of Uttar Kashiakhand,Uttarakhand,,,,,1.0,,,,1 person died,,IMD,,,5
UEI-IMD-FL-2016-0126,2016-05-08 00:00:00,2016-05-08 00:00:00,1.0,landslide,,Chamoli,Uttarakhand,,,,,,,,,,i) Damage to more than 10 houses reported ii) Damage to more than half dozen vehicles reported.,IMD,,47,5
UEI-IMD-FL-2016-0127,2016-05-22 00:00:00,2016-05-22 00:00:00,1.0,landslide,,Dehradun,Uttarakhand,,,,,10.0,5.0,,,10 labourers died & 5 other injured.,,IMD,,49,5
UEI-IMD-FL-2016-0128,2016-05-28 00:00:00,2016-05-28 00:00:00,1.0,cloud burst,,"Tehri Garhwal,Uttar Kashi Kashi",Uttarakhand,,,,,5.0,,,,5 persons died.,,IMD,,"55, None",5
UEI-IMD-FL-2016-0129,2016-07-03 00:00:00,2016-07-03 00:00:00,1.0,cloud burst,,"Chamoli, Pithoragarh",Uttarakhand,,,,,20.0,12.0,,,20 persons died & 12 others missing.,i) 150 families affected ii) 4 houses fully & 12 houses partially damaged.,IMD,,"47, 53",5
UEI-IMD-FL-2016-0130,2016-07-16 00:00:00,2016-07-17 00:00:00,2.0,heavy rains & heavy rains &,,"Dehradun, Nainital, Tehri Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,15.0,,,,15 persons died.,"i) Rishikesh-Badrinath national highway,the Rishikesh - Kedarnath National Highway between Sonprayag,Gaurikund, remained cut off. ii) Damage to several bridges across the state reported.",IMD,,"49, 51, 55, None",5
UEI-IMD-FL-2016-0131,2016-07-21 00:00:00,2016-07-23 00:00:00,3.0,landslide,,Dehradun,Uttarakhand,,,,,11.0,,,,11 persons died.,,IMD,,49,5
UEI-IMD-FL-2017-0120,2017-05-20 00:00:00,2017-05-20 00:00:00,1.0,Landslide,,Chamoli,Uttarakhand,,,,,13.0,,,,13 Char Dham Pilgrims died.,Thousands of Pilgrims stranded,IMD,,47,5
UEI-IMD-FL-2017-0121,2017-08-13 00:00:00,2017-08-13 00:00:00,1.0,Landslide,,Pithoragarh,Uttarakhand,,,,,1.0,,2.0,18.0,"One person died, 2 others missing & 18 livestock perished.",,IMD,,53,5
UEI-IMD-FL-2018-0117,2018-08-30 00:00:00,2018-08-30 00:00:00,1.0,Landslide,,Tehri Garhwal,Uttarakhand,,,,,6.0,,,,"6 persons died,other injured.",Damage to houses reported,IMD,,55,5
UEI-IMD-FL-2018-0116,2018-11-07 00:00:00,2018-11-07 00:00:00,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,7.0,,,,7 persons died.,,IMD,,49,5
UEI-IMD-FL-2019-0147,2019-02-06 00:00:00,2019-02-06 00:00:00,1.0,Flash floods,,"Almora, Chamoli",Uttarakhand,,,,,1.0,,1.0,,One shepherd died due to flash floods in local Gangani stream from Lam Bagar areas in Mahelchouri of Chamoli Dist. While one person missing from Khira village in Chaukhatiya block of Almora Dist. Some cattle heads washed away from Almora Dist.,"i) Damage to agricultural land reported. ii) Damage to several houses, cowsheds reported. iii) Damage to main roads,local bridges reported. iv) Large-scale destruction in Gangnahar, Lambagad, Ramgaderi, Bisht Bhankhli,Negi Bankhali villages reported. v) The Mahelchouri-Chaukhatiya highway blocked due to the debris.",IMD,,"45, 47",5
UEI-IMD-FL-2019-0155,2019-02-09 00:00:00,2019-02-09 00:00:00,1.0,Cloud Burst,,Almora,Uttarakhand,,,,,,,,,Few persons injured due to house collapsed.,Damage to house reported in Jajar village in Dhauladevi Block.,IMD,,45,5
UEI-IMD-FL-2019-0150,2019-04-07 00:00:00,2019-04-07 00:00:00,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,,,,,,Damage to water pipeline & 40-meter road reported in Sari Chamshil village of Augustmuni block.,IMD,,54,5
UEI-IMD-FL-2019-0151,2019-06-08 00:00:00,2019-06-08 00:00:00,1.0,Heavy rains & flash flood as a result of cloud burst,,"Chamoli, Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,,,,,,"i) Damage to 11 bridges reported. ii) Damage to a school building from Pathar Katta village of Gairsain area reported. iii) Severe damage to properties in Chad a local nullah reported. iv) Damage to 4 cowsheds reported. v) Thousands of visitors stranded as Rishikesh-Badrinath highway at Lambagad was blocked. In addition, several other motor roads in Chamoli, Uttarkashi,Pauri districts affected.",IMD,,"47, 52, None",5
