sl_no,slide_no,state,district,location_details,latitude,longitude,material_movement_history_raw
35360,UK/UTT/53J01/2015/1439,Uttarakhand,Uttarkashi,,30.844216,78.247618,Rock Slide 2013
35361,UK/UTT/53J01/2015/1437,Uttarakhand,Uttarkashi,,30.844318,78.24888,Rock Slide 2013
35362,UK/UTT/53J05/2015/1814,Uttarakhand,Uttarkashi,,30.844444,78.445,Rock Slide NA
35363,UK/UTT/53J01/2015/1577,Uttarakhand,Uttarkashi,,30.844556,78.091944,Rock Slide NA
35364,UK/UTT/53J05/2015/1810,Uttarakhand,Uttarkashi,,30.844722,78.439444,Rock Slide NA
35365,UK/UTT/53J05/2015/1811,Uttarakhand,Uttarkashi,,30.844722,78.443056,Rock Slide NA
35366,UK/UTT/53J05/2015/1805,Uttarakhand,Uttarkashi,,30.844833,78.433611,Rock Slide NA
35367,UK/UTT/53J05/2015/1697,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.845,78.271944,Rock Slide 2008
35368,UK/UTT/53J01/2015/1576,Uttarakhand,Uttarkashi,,30.845056,78.091889,Rock Slide NA
35369,UK/UTT/53J01/2015/1438,Uttarakhand,Uttarkashi,,30.845158,78.248864,Rock Slide 2013
35370,UK/UTT/53J05/2015/1696,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.845278,78.271667,Rock Slide 1990
35371,UK/UTT/53J05/2015/1808,Uttarakhand,Uttarkashi,,30.845417,78.4365,Rock Slide NA
35372,UK/UTT/53J01/2015/1575,Uttarakhand,Uttarkashi,,30.845611,78.092028,Rock Slide NA
35373,UK/UTT/53J05/2015/1694,Uttarakhand,Uttarkashi,NH-134,30.845694,78.273222,Rock Slide 2008
35374,UK/UTT/53J01/2015/1571,Uttarakhand,Uttarkashi,,30.845743,78.084237,Rock Slide NA
35375,UK/UTT/53J09/2015/938,Uttarakhand,Uttarkashi,Along Saundhar gad near Barsu,30.845833,78.608333,Debris Composite 2013
35376,UK/UTT/53J01/2015/1574,Uttarakhand,Uttarkashi,,30.846283,78.09154,Rock Slide NA
35377,UK/UTT/53J01/2015/1512,Uttarakhand,Uttarkashi,,30.846688,78.221297,Rock Slide NA
35378,UK/DEH/53F13/2015/402,Uttarakhand,Dehradun,Bhadraouli - Palasu,30.846861,77.832528,Debris Slide NA
35379,UK/UTT/53J05/2015/1704,Uttarakhand,Uttarkashi,,30.846891,78.251557,Rock Slide NA
35380,UK/UTT/53J01/2015/1573,Uttarakhand,Uttarkashi,,30.846946,78.091083,Rock Slide NA
35381,UK/UTT/53J01/2015/1517,Uttarakhand,Uttarkashi,,30.847139,78.210833,Rock Slide NA
35382,UK/UTT/53J05/2015/1807,Uttarakhand,Uttarkashi,,30.847183,78.434089,Rock Slide NA
35383,UK/UTT/53J01/2015/1516,Uttarakhand,Uttarkashi,,30.8475,78.210278,Rock Slide NA
35384,UK/UTT/53J05/2015/1693,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.8475,78.276667,Rock Slide NA
35385,UK/UTT/53J01/2015/1514,Uttarakhand,Uttarkashi,,30.84771,78.211768,Rock Slide NA
35386,UK/UTT/53J05/2015/1699,Uttarakhand,Uttarkashi,,30.847754,78.252552,Rock Slide NA
35387,UK/RUD/53N02/2013/0049,Uttarakhand,Rudraprayag,"UK/RUD/NH109/Son/01 NH109, Sonprayag",30.848,79.2816,Debris Slide 16th-17th June 2013
35388,UK/RUD/53N02/2013/0050,Uttarakhand,Rudraprayag,"UK/RUD/NH109/Barasu/02 NH109,Barasu village",30.848,79.2816,Debris Slide 16th-17th June 2013
35389,UK/RUD/53N02/2013/0051,Uttarakhand,Rudraprayag,"UK/RUD/NH109/Phata/03 NH109,Phata village",30.848,79.2816,Debris Slide 16th-17th June 2013
35390,UK/UTT/53J05/2013/0043,Uttarakhand,Uttarkashi,"UK_UTT_NH134_L43 NH-134, Wariya slide",30.848,78.2816,Debris Slide 16th-17th June 2013
35391,UK/UTT/53J05/2013/0044,Uttarakhand,Uttarkashi,UK_UTT_NH134_L44 Hanuman Chatti slide,30.848,78.2816,Debris Slide 16th-17th June 2013
35392,UK/UTT/53J05/2013/0045,Uttarakhand,Uttarkashi,UK_UTT_NH134_L45 Narad Chatti slide-1,30.848,78.2816,Debris Flow 16th-17th June 2013
35393,UK/UTT/53J05/2013/0046,Uttarakhand,Uttarkashi,UK_UTT_NH134_L46 Narad Chatti slide-2,30.848,78.2816,Debris Flow 16th-17th June 2013
35394,UK/RUD/53N02/2013/0052,Uttarakhand,Rudraprayag,"UK/RUD/NH109/Khat/04 NH-109, Khat village",30.848,79.2816,Rock cum Debris Slide 16th-17th June 2013
35395,UK/RUD/53N02/2013/0053,Uttarakhand,Rudraprayag,"UK/RUD/NH109/Khat/05 NH-109, Khat village",30.848,79.2816,Debris Spread 16th-17th June 2013
35396,UK/UTT/53J05/2013/0047,Uttarakhand,Uttarkashi,"UK_UTT_NH134_L47 NH-134, Asnol slide",30.848,78.2816,Debris Flow 16th-17th June 2013
35397,UK/UTT/53I08/2013/0048,Uttarakhand,Uttarkashi,"UK_UTT_NH134_L48 NH-134, Yamnotri slide",30.848,78.2816,Rock cum Debris Flow 16th-17th June 2013
35398,UK/UTT/53J05/2013/0042,Uttarakhand,Uttarkashi,"UK_UTT_NH134_L42 NH134, Kharadi slide",30.848,78.0544,Debris Slide 16th-17th June 2013
35399,UK/UTT/53J01/2015/1572,Uttarakhand,Uttarkashi,,30.848763,78.090337,Rock Slide NA
35400,UK/UTT/53J05/2015/1700,Uttarakhand,Uttarkashi,,30.848889,78.250833,Rock Slide NA
35401,UK/UTT/53J09/2015/934,Uttarakhand,Uttarkashi,Rishikesh-Gangotri road,30.848989,78.637463,Debris Flow NA
