sl_no,slide_no,state,district,location_details,latitude,longitude,material_movement_history_raw
30549,UK/CHA/62C04/2017/34,Uttarakhand,Champawat,,29.135275,80.090843,Debris Slide 2014
30550,UK/CHA/62C04/2017/24,Uttarakhand,Champawat,,29.139732,80.073974,Rock Slide 2012
30551,UK/CHA/53O16/2017/9,Uttarakhand,Champawat,Katal,29.142636,79.958384,Rock Slide 2014
30552,UK/CHA/62C04/2017/11,Uttarakhand,Champawat,,29.144012,80.174222,Debris Slide 2011
30553,UK/CHA/62C04/2017/12,Uttarakhand,Champawat,,29.145411,80.180642,Debris Slide 2006
30554,UK/CHA/53O16/2017/7,Uttarakhand,Champawat,Katal,29.14557,79.986097,Rock Slide 2015
30555,UK/CHA/53O16/2017/15,Uttarakhand,Champawat,,29.147085,79.941277,Debris Slide 2016
30556,UK/CHA/53O16/2017/6,Uttarakhand,Champawat,Katal,29.147481,79.997854,Rock Slide 2015
30557,UK/CHA/53O16/2017/10,Uttarakhand,Champawat,Katal,29.147738,79.954939,Debris Slide 2014
30558,UK/CHA/53O16/2017/16,Uttarakhand,Champawat,,29.148941,79.935497,Debris Slide 2016
30559,UK/CHA/53O16/2017/14,Uttarakhand,Champawat,,29.14906,79.943888,Debris Slide 2016
30560,UK/CHA/53O16/2017/11,Uttarakhand,Champawat,Katal,29.149158,79.946961,Debris Slide 2016
30561,UK/CHA/53O16/2017/4,Uttarakhand,Champawat,,29.150005,79.996229,Rock Slide 2015
30562,UK/CHA/53O16/2017/12,Uttarakhand,Champawat,Katal,29.150029,79.942866,Rock Slide 2016
30563,UK/CHA/53O16/2017/17,Uttarakhand,Champawat,,29.150225,79.935322,Debris Slide 2016
30564,UK/CHA/53O16/2017/5,Uttarakhand,Champawat,,29.150924,79.996805,Rock Slide 2015
30565,UK/CHA/53O16/2017/13,Uttarakhand,Champawat,,29.15121,79.975785,Rock Slide 2016
30566,UK/CHA/53O16/2017/8,Uttarakhand,Champawat,,29.153884,79.974804,Rock Slide 2014
30567,UK/CHA/62C04/2017/21,Uttarakhand,Champawat,,29.153992,80.055119,Rock Slide NA
30568,UK/CHA/62C04/2017/1,Uttarakhand,Champawat,Adhauri,29.154557,80.090751,Rock Slide 2016
30569,UK/CHA/62C04/2017/3,Uttarakhand,Champawat,,29.157626,80.009454,Rock Slide 2016
30570,UK/CHA/53O16/2017/22,Uttarakhand,Champawat,Durgapipal,29.157774,79.880607,Debris Slide 2016
30571,UK/CHA/53O16/2017/20,Uttarakhand,Champawat,Durgapipal,29.15916,79.884315,Debris Slide 2016
30572,UK/CHA/53O16/2017/21,Uttarakhand,Champawat,Durgapipal,29.160488,79.8837,Debris Slide 2016
30573,UK/CHA/62C04/2017/20,Uttarakhand,Champawat,Syala,29.161727,80.070408,Rock Slide NA
30574,UK/CHA/62C04/2017/35,Uttarakhand,Champawat,,29.163593,80.092587,Rock Slide 2017
30575,UK/CHA/62C04/2017/14,Uttarakhand,Champawat,Purnagiri,29.169429,80.087783,Rock cum debris Slide NA
30576,UK/CHA/62C04/2017/36,Uttarakhand,Champawat,,29.170745,80.073226,Rock Slide 2012
30577,UK/CHA/62C04/2017/22,Uttarakhand,Champawat,,29.171161,80.078641,Rock Slide 2012
30578,UK/CHA/62C04/2017/23,Uttarakhand,Champawat,Chaurakot,29.172566,80.076101,Rock Slide 2012
30579,UK/CHA/53O16/2017/19,Uttarakhand,Champawat,,29.173097,79.823553,Rock Slide 2016
30580,UK/CHA/62C04/2017/33,Uttarakhand,Champawat,,29.175471,80.086015,Rock Slide 2011
30581,UK/CHA/62C04/2017/18,Uttarakhand,Champawat,Syamaltal,29.176065,80.132172,Rock Slide 2014
30582,UK/CHA/62C04/2017/19,Uttarakhand,Champawat,Syala,29.176065,80.132172,Rock Slide 2014
30583,UK/CHA/62C04/2017/27,Uttarakhand,Champawat,,29.176385,80.024444,Rock Slide NA
30584,UK/CHA/53O16/2017/18,Uttarakhand,Champawat,,29.179958,79.910223,Rock Slide 2016
30585,UK/CHA/62C04/2017/26,Uttarakhand,Champawat,,29.181197,80.03289,Rock Slide 2012
30586,UK/CHA/62C04/2017/28,Uttarakhand,Champawat,Sukuni,29.182044,80.021544,Rock Slide 2012
30587,UK/CHA/62C04/2017/29,Uttarakhand,Champawat,Sukuni,29.18394,80.007996,Rock Slide NA
30588,UK/CHA/62C04/2017/25,Uttarakhand,Champawat,,29.18437,80.037319,Rock Slide NA
30589,UK/CHA/62C04/2017/31,Uttarakhand,Champawat,Poth,29.185477,80.179302,Rock Slide NA
30590,UK/NAI/53O12/2017/1,Uttarakhand,Nainital,Kamerpani,29.186147,79.629781,Debris Slide NA
30591,UK/CHA/62C04/2017/17,Uttarakhand,Champawat,Syamaltal,29.188801,80.108286,Rock Slide 2011
30592,UK/CHA/62C05/2017/1,Uttarakhand,Champawat,,29.189279,80.107582,Rock Slide 2011
30593,UK/CHA/62C04/2017/16,Uttarakhand,Champawat,Syamaltal,29.189677,80.109494,Rock Slide 2011
30594,UK/CHA/62C04/2017/15,Uttarakhand,Champawat,Sukhidang,29.190611,80.11058,Rock Slide 2011
30595,UK/CHA/62C04/2017/30,Uttarakhand,Champawat,,29.191942,80.12315,Debris Slide 2017
30596,UK/CHA/62C04/2017/7,Uttarakhand,Champawat,Adisera,29.197505,80.092152,Rock Slide 2011
30597,UK/CHA/62C04/2017/13,Uttarakhand,Champawat,Prunagiri,29.197562,80.092079,Rock Slide 2012
30598,UK/CHA/62C04/2017/2,Uttarakhand,Champawat,,29.200404,80.080382,Rock Slide 2017
30599,UK/NAI/53O16/2017/2,Uttarakhand,Nainital,Siliyara,29.204726,79.810527,Rock Slide 2013
30600,UK/CHA/53O16/2017/23,Uttarakhand,Champawat,Durgapipal,29.206762,79.804529,Rock Slide 2014
30601,UK/CHA/53O16/2017/24,Uttarakhand,Champawat,Durgapipal,29.207895,79.80212,Rock Slide 2014
30602,UK/CHA/53O16/2017/25,Uttarakhand,Champawat,,29.208238,79.800921,Rock Slide 2014
30603,UK/CHA/62C04/2017/4,Uttarakhand,Champawat,,29.208498,80.052922,Rock Slide 2017
30604,UK/NAI/53O16/2017/1,Uttarakhand,Nainital,Badwari,29.210552,79.798514,Rock Slide 2016
30605,UK/CHA/53O16/2017/27,Uttarakhand,Champawat,,29.215332,79.826597,Rock cum debris Slide NA
30606,UK/CHA/53O16/2017/34,Uttarakhand,Champawat,,29.217713,80.05959,Rock cum debris Slide 2015
30607,UK/CHA/53O16/2017/28,Uttarakhand,Champawat,,29.217857,79.823908,Rock Slide NA
30608,UK/CHA/62C04/2017/32,Uttarakhand,Champawat,Poth,29.225598,80.18887,Rock Slide 2012
30609,UK/CHA/62C04/2017/10,Uttarakhand,Champawat,,29.227417,80.001041,Rock Slide NA
30610,UK/NAI/53O12/2017/4,Uttarakhand,Nainital,,29.228342,79.628017,Rock Slide 2011
30611,UK/CHA/53O16/2017/26,Uttarakhand,Champawat,Konj,29.229502,79.826764,Rock Slide 2013
30612,UK/CHA/53O16/2017/35,Uttarakhand,Champawat,,29.233141,79.93516,Rock Slide NA
30613,UK/CHA/53O16/2017/36,Uttarakhand,Champawat,,29.234664,79.93362,Rock Slide NA
30614,UK/CHA/53O16/2017/38,Uttarakhand,Champawat,,29.234988,79.933264,Rock Slide 2017
30615,UK/CHA/53O16/2017/39,Uttarakhand,Champawat,,29.235478,79.929918,Rock Slide 2017
30616,UK/NAI/53O12/2017/8,Uttarakhand,Nainital,Okhal Dunga,29.235606,79.676596,Rock cum debris Slide 2013
30617,UK/CHA/53O16/2017/31,Uttarakhand,Champawat,Sein,29.236158,79.888237,Rock Slide 2013
30618,UK/CHA/53O16/2017/30,Uttarakhand,Champawat,,29.236404,79.88644,Rock cum debris Slide 2013
30619,UK/CHA/62C04/2017/5,Uttarakhand,Champawat,,29.236755,80.037273,Rock Slide 2014
30620,UK/CHA/62C04/2017/6,Uttarakhand,Champawat,Jaleni,29.237414,80.034834,Rock Slide 2014
30621,UK/CHA/53O16/2017/40,Uttarakhand,Champawat,Machad,29.237766,79.92914,Rock Slide 2017
30622,UK/CHA/53O16/2017/32,Uttarakhand,Champawat,,29.239901,79.89569,Rock cum debris Slide 2013
30623,UK/CHA/53O16/2017/37,Uttarakhand,Champawat,,29.240672,79.931008,Rock Slide 2013
30624,UK/CHA/53O16/2017/33,Uttarakhand,Champawat,,29.240832,79.995016,Debris Slide 2014
30625,UK/NAI/53O12/2017/7,Uttarakhand,Nainital,,29.242521,79.628113,Rock Slide 2011
30626,UK/NAI/53O12/2017/6,Uttarakhand,Nainital,Dida,29.243319,79.6314,Rock Slide 2011
30627,UK/CHA/62C04/2017/8,Uttarakhand,Champawat,Adisera,29.244021,80.015769,Rock Slide 2014
30628,UK/NAI/53O12/2017/5,Uttarakhand,Nainital,,29.244291,79.632298,Rock Slide 2011
30629,UK/NAI/53O12/2017/3,Uttarakhand,Nainital,Lawardowa,29.244866,79.674616,Rock Slide NA
30630,UK/CHA/62C04/2017/9,Uttarakhand,Champawat,,29.24543,80.010754,Rock Slide 2014
30631,UK/CHA/53O16/2017/29,Uttarakhand,Champawat,,29.245557,79.851988,Rock Slide 2013
30632,UK/NAI/53O12/2017/2,Uttarakhand,Nainital,Simlikham,29.24896,79.67046,Debris Slide NA
30633,UK/NAI/53O16/2017/3,Uttarakhand,Nainital,Okhal Dunga,29.249521,79.844396,Rock Slide 2017
30634,UK/NAI/53O11/2015/185,Uttarakhand,Nainital,Patrani - Kotbanna,29.252278,79.673045,Rock Slide NA
30635,UK/CHA/62C03/2016/2,Uttarakhand,Champawat,Swala NH-125,29.252361,80.061833,Rock Fall 2006
30636,UK/CHA/62C03/2016/25,Uttarakhand,Champawat,Bastiya,29.252444,80.087361,Rock Slide 2006
30637,UK/CHA/62C03/2016/27,Uttarakhand,Champawat,Bastiya,29.25275,80.08825,Rock Slide 2006
30638,UK/CHA/62C03/2016/79,Uttarakhand,Champawat,Swala,29.252889,80.067556,Rock Fall 2005
30639,UK/CHA/62C03/2016/26,Uttarakhand,Champawat,Bastiya,29.25339,80.085697,Rock Slide 2006
30640,UK/CHA/53O15/2016/42,Uttarakhand,Champawat,Asera,29.253827,79.934349,Rock Slide 2010
30641,UK/CHA/62C03/2016/92,Uttarakhand,Champawat,Bastiya,29.255361,80.100788,Rock Slide 2010
30642,UK/CHA/53O15/2016/41,Uttarakhand,Champawat,Asera,29.255832,79.92872,Rock Slide 2011
30643,UK/NAI/53O11/2015/190,Uttarakhand,Nainital,Kathgodam - Nainital,29.256944,79.56,Rock Slide NA
30644,UK/CHA/62C03/2016/61,Uttarakhand,Champawat,Sayali,29.256967,80.131041,Debris Slide 2012
30645,UK/NAI/53O11/2015/182,Uttarakhand,Nainital,Kathgodam - Nainital,29.257424,79.559967,Rock Slide NA
30646,UK/CHA/53O15/2016/40,Uttarakhand,Champawat,Bhat Pinana,29.257511,79.935134,Rock Slide 2011
30647,UK/PIT/62C03/2016/124,Uttarakhand,Champawat,Bastiya,29.258194,80.096333,Rock Slide 2006
30648,UK/CHA/62C03/2016/1,Uttarakhand,Champawat,Bastiya NH-125,29.258639,80.091278,Rock Slide 2010
30649,UK/CHA/62C03/2016/3,Uttarakhand,Champawat,Swala NH-125,29.259111,80.07125,Rock Slide 2014
30650,UK/CHA/62C03/2016/5,Uttarakhand,Champawat,Bastiya NH-125,29.260056,80.078417,Rock Slide 2016
30651,UK/CHA/62C03/2016/4,Uttarakhand,Champawat,Swala NH-125,29.261111,80.075056,Rock Slide 2014
30652,UK/NAI/53O11/2015/158,Uttarakhand,Nainital,Kathgodam - Nainital,29.261458,79.563533,Rock Slide NA
30653,UK/CHA/62C03/2016/93,Uttarakhand,Champawat,Bastiya,29.26172,80.098061,Rock Slide 2006
30654,UK/CHA/62C03/2016/80,Uttarakhand,Champawat,Swala,29.262101,80.059173,Rock Slide 2005
30655,UK/PIT/62C03/2016/125,Uttarakhand,Champawat,Bastiya,29.262581,80.101237,Rock Slide 2010
30656,UK/CHA/62C03/2016/91,Uttarakhand,Champawat,Bastiya,29.26295,80.097383,Rock Slide 2010
30657,UK/NAI/53O11/2015/170,Uttarakhand,Nainital,Kathgodam - Paniyan,29.263087,79.555678,Rock Slide NA
30658,UK/PIT/62C03/2016/126,Uttarakhand,Champawat,Sayali,29.263132,80.105027,Rock Slide 2010
30659,UK/PIT/62C03/2016/127,Uttarakhand,Champawat,Sayali,29.26317,80.108749,Rock Slide 2010
30660,UK/CHA/62C03/2016/75,Uttarakhand,Champawat,Bairikhal,29.263583,80.206306,Rock Slide 2016
30661,UK/NAI/53O11/2015/153,Uttarakhand,Nainital,Kathgodam - Pasholi,29.264742,79.563462,Rock Slide NA
30662,UK/CHA/62C03/2016/90,Uttarakhand,Champawat,Bastiya,29.26534,80.095331,Rock Slide 2016
30663,UK/CHA/62C03/2016/51,Uttarakhand,Champawat,Sayali,29.265444,80.136444,Rock Slide 2012
30664,UK/NAI/53O11/2015/188,Uttarakhand,Nainital,Ranibagh - Shalani,29.265929,79.630572,Rock Slide NA
30665,UK/CHA/62C03/2016/74,Uttarakhand,Champawat,Bairikhal,29.266528,80.215917,Debris Slide 2016
30666,UK/CHA/62C03/2016/50,Uttarakhand,Champawat,Sayali,29.266611,80.135778,Rock Slide 2014
30667,UK/CHA/62C03/2016/62,Uttarakhand,Champawat,Sayali,29.266667,80.117333,Rock Slide 2012
30668,UK/CHA/62C03/2016/63,Uttarakhand,Champawat,Sayali,29.267028,80.11425,Rock Slide 2012
30669,UK/CHA/62C03/2016/83,Uttarakhand,Champawat,Swala,29.267326,80.069587,Rock Slide 2010
30670,UK/NAI/53O11/2015/189,Uttarakhand,Nainital,Kathgodam - Paniyan,29.267671,79.555389,Rock Slide NA
30671,UK/CHA/62C03/2016/85,Uttarakhand,Champawat,Bastiya,29.267753,80.075889,Rock Slide 2010
30672,UK/CHA/62C03/2016/82,Uttarakhand,Champawat,Swala,29.268309,80.067564,Rock Slide 2010
30673,UK/NAI/53O11/2015/151,Uttarakhand,Nainital,Jamrani - Kotbanna,29.269,79.611,Rock Slide NA
30674,UK/NAI/53O11/2015/172,Uttarakhand,Nainital,Patrani - Kotbanna,29.269143,79.683619,Rock Slide NA
30675,UK/CHA/62C03/2016/84,Uttarakhand,Champawat,Swala,29.269307,80.070335,Rock Slide 2014
30676,UK/CHA/62C03/2016/64,Uttarakhand,Champawat,Sayali,29.269333,80.108639,Rock Slide 2011
30677,UK/CHA/62C03/2016/52,Uttarakhand,Champawat,Sayali,29.269717,80.114558,Rock Slide 2016
30678,UK/CHA/62C03/2016/53,Uttarakhand,Champawat,Sayali,29.269972,80.1315,Debris Slide 2014
30679,UK/NAI/53O11/2015/166,Uttarakhand,Nainital,Kathgodam - Raunshil,29.270031,79.550619,Rock Slide NA
30680,UK/NAI/53O11/2015/206,Uttarakhand,Nainital,Kathgodam - Raunshil,29.270031,79.550619,Rock Slide NA
30681,UK/NAI/53O11/2015/179,Uttarakhand,Nainital,Kathgodam - Raunshil,29.270031,79.550619,Rock Slide NA
30682,UK/CHA/62C03/2016/49,Uttarakhand,Champawat,Gurna,29.270432,80.154032,Rock Slide 2016
30683,UK/NAI/53O11/2015/178,Uttarakhand,Nainital,Kathgodam - Paniyan,29.271439,79.555086,Rock Slide NA
30684,UK/CHA/62C03/2016/60,Uttarakhand,Champawat,Sayali,29.271579,80.124965,Rock Slide 2014
30685,UK/NAI/53O11/2015/156,Uttarakhand,Nainital,Jamrani - Kotbanna,29.272361,79.617849,Rock Slide NA
30686,UK/NAI/53O11/2015/224,Uttarakhand,Nainital,Kathgodam - Paniyan,29.2728,79.560099,Rock Fall NA
30687,UK/CHA/62C03/2016/6,Uttarakhand,Pithoragarh,Panthyuara,29.273278,80.099389,Rock Slide 2005
30688,UK/NAI/53O11/2015/212,Uttarakhand,Nainital,Ranibagh - Shalani,29.273614,79.62666,Rock Slide NA
30689,UK/CHA/62C03/2016/54,Uttarakhand,Champawat,Sayali,29.274167,80.126889,Rock Fall 2014
30690,UK/NAI/53O11/2015/184,Uttarakhand,Nainital,Ranibagh - Pastola,29.274617,79.600602,Rock Slide NA
30691,UK/NAI/53O11/2015/180,Uttarakhand,Nainital,Kathgodam - Paniyan,29.274646,79.567592,Rock Fall NA
30692,UK/NAI/53O11/2015/204,Uttarakhand,Nainital,Jamrani - Kotbanna,29.27545,79.604038,Rock Slide NA
30693,UK/CHA/62C03/2016/57,Uttarakhand,Champawat,Sayali,29.276694,80.120194,Rock Slide 2012
30694,UK/CHA/62C03/2016/59,Uttarakhand,Champawat,Sayali,29.277049,80.123019,Rock Slide 2012
30695,UK/CHA/62C03/2016/58,Uttarakhand,Champawat,Sayali,29.277631,80.120772,Debris Slide 2012
30696,UK/CHA/62C03/2016/65,Uttarakhand,Champawat,Jatkola,29.278167,80.033472,Debris Slide 2016
30697,UK/CHA/62C03/2016/55,Uttarakhand,Champawat,Sayali,29.278389,80.123306,Debris Slide 2012
30698,UK/CHA/62C03/2016/56,Uttarakhand,Champawat,Sayali,29.279241,80.123204,Rock Slide 2012
30699,UK/NAI/53O11/2015/210,Uttarakhand,Nainital,Mahargaon - Mahanta,29.279343,79.698514,Debris Slide NA
30700,UK/CHA/62C03/2016/81,Uttarakhand,Champawat,Jatkola,29.279844,80.06398,Rock Slide 2005
30701,UK/NAI/53O11/2015/197,Uttarakhand,Nainital,Bohara - Shalani,29.281424,79.629659,Rock Slide NA
30702,UK/CHA/62C03/2016/86,Uttarakhand,Champawat,Banlek,29.28195,80.083865,Rock Slide 2012
30703,UK/NAI/53O11/2015/194,Uttarakhand,Nainital,Ranibagh - Shalani,29.283247,79.624453,Rock Slide NA
30704,UK/NAI/53O11/2015/152,Uttarakhand,Nainital,Ranibagh - Banana,29.283297,79.532982,Rock Slide NA
30705,UK/CHA/62C03/2016/73,Uttarakhand,Champawat,Bhuni,29.283548,80.239665,Rock Slide 2002
30706,UK/NAI/53O11/2015/198,Uttarakhand,Nainital,Jamrani - Kotbanna,29.284293,79.603546,Rock Slide NA
30707,UK/NAI/53O11/2015/217,Uttarakhand,Nainital,Bohara - Shalani,29.284327,79.633732,Debris Slide NA
30708,UK/CHA/53O15/2016/11,Uttarakhand,Champawat,Gadyura,29.285194,79.893694,Debris Slide 2011
30709,UK/NAI/53O11/2015/234,Uttarakhand,Nainital,Shimalaya - Hairakhan,29.285675,79.737791,Rock Slide NA
30710,UK/CHA/53O15/2016/10,Uttarakhand,Champawat,Gadyura,29.285917,79.8915,Rock Slide 2016
30711,UK/CHA/62C03/2016/76,Uttarakhand,Champawat,Bairikhal,29.286722,80.186861,Debris Slide 2014
30712,UK/CHA/53O15/2016/12,Uttarakhand,Champawat,Gadyura,29.287111,79.91075,Debris Slide 2011
30713,UK/NAI/53O11/2015/202,Uttarakhand,Nainital,Kathgodam - Paniyan,29.28713,79.581368,Rock Slide NA
30714,UK/CHA/53O15/2016/13,Uttarakhand,Champawat,Gadyura,29.287556,79.910806,Rock Slide 2011
30715,UK/NAI/53O11/2015/218,Uttarakhand,Nainital,Shimalaya - Hairakhan,29.287698,79.719284,Rock Slide NA
30716,UK/CHA/53O15/2016/9,Uttarakhand,Champawat,Gadyura,29.288778,79.897028,Rock Slide 2016
30717,UK/NAI/53O11/2015/239,Uttarakhand,Nainital,Ranibagh - Banana,29.28931,79.607878,Rock Slide NA
30718,UK/NAI/53O11/2015/187,Uttarakhand,Nainital,Mahargaon - Mahanta,29.290265,79.704675,Rock Slide NA
30719,UK/CHA/53O15/2016/92,Uttarakhand,Champawat,Gurna,29.291528,80.183281,Debris Slide 2014
30720,UK/CHA/53O15/2016/14,Uttarakhand,Champawat,Gadyura,29.292222,79.914417,Rock Slide 2011
30721,UK/NAI/53O11/2015/181,Uttarakhand,Nainital,Ranibagh - Banana,29.292343,79.582799,Rock Slide NA
30722,UK/NAI/53O11/2015/207,Uttarakhand,Nainital,Shimalaya - Hairakhan,29.292428,79.719467,Rock Slide NA
30723,UK/NAI/53O11/2015/196,Uttarakhand,Nainital,Bohara - Shalani,29.293488,79.623976,Rock Slide NA
30724,UK/NAI/53O11/2015/193,Uttarakhand,Nainital,Kathgodam - Nainital,29.293867,79.548315,Rock Slide NA
30725,UK/NAI/53O11/2015/214,Uttarakhand,Nainital,Ranibagh - Banana,29.293943,79.579571,Debris Slide NA
30726,UK/NAI/53O11/2015/208,Uttarakhand,Nainital,Ranibagh - Shalani,29.294189,79.612409,Rock Slide NA
30727,UK/CHA/62C03/2016/66,Uttarakhand,Champawat,Jatkola,29.294278,80.030639,Rock Slide 2012
30728,UK/CHA/62C03/2016/68,Uttarakhand,Champawat,Jatkola,29.294833,80.034556,Rock Slide 2012
30729,UK/NAI/53O11/2015/240,Uttarakhand,Nainital,Ranibagh - Banana,29.295128,79.609551,Rock Slide NA
30730,UK/CHA/62C03/2016/67,Uttarakhand,Champawat,Jatkola,29.295167,80.03325,Rock Slide 2012
30731,UK/CHA/53O15/2016/33,Uttarakhand,Champawat,Kanyura,29.295918,79.97016,Debris Slide 2011
30732,UK/CHA/53O15/2016/16,Uttarakhand,Champawat,Kanyura,29.296778,79.9485,Rock Fall 2014
30733,UK/CHA/53O15/2016/17,Uttarakhand,Champawat,Kanyura,29.297028,79.954139,Rock Slide 2014
30734,UK/CHA/53O15/2016/15,Uttarakhand,Champawat,Kanyura,29.297167,79.947389,Rock Slide 2013
30735,UK/NAI/53O11/2015/223,Uttarakhand,Nainital,Ranibagh - Banana,29.297396,79.615822,Rock Slide NA
30736,UK/NAI/53O11/2015/261,Uttarakhand,Nainital,Ranibagh - Banana,29.297726,79.557461,Rock Slide NA
30737,UK/NAI/53O11/2015/259,Uttarakhand,Nainital,Mahargaon - Mahanta,29.29775,79.695778,Rock Slide NA
30738,UK/CHA/53O15/2016/18,Uttarakhand,Champawat,Kanyura,29.298889,79.956972,Rock Slide 2014
30739,UK/CHA/53O15/2016/44,Uttarakhand,Champawat,Gadyura,29.299322,79.91367,Rock Slide 2016
30740,UK/CHA/53O15/2016/43,Uttarakhand,Champawat,Chautra,29.299976,79.888292,Rock Slide 2013
30741,UK/NAI/53O11/2015/183,Uttarakhand,Nainital,Mahargaon - Mahanta,29.300194,79.697389,Rock Slide NA
30742,UK/NAI/53O11/2015/157,Uttarakhand,Nainital,Mahargaon - Mahanta,29.300194,79.697389,Rock Slide NA
30743,UK/NAI/53O11/2015/226,Uttarakhand,Nainital,Mahargaon - Mahanta,29.300194,79.697389,Rock Slide NA
30744,UK/CHA/62C03/2016/87,Uttarakhand,Champawat,Palson,29.300528,80.081361,Rock Fall 2010
30745,UK/NAI/53O11/2015/245,Uttarakhand,Nainital,Bohara - Shalani,29.301514,79.633014,Rock Slide NA
30746,UK/NAI/53O11/2015/160,Uttarakhand,Nainital,Kathgodam - Nainital,29.301743,79.543629,Rock Slide NA
30747,UK/CHA/62C03/2016/88,Uttarakhand,Champawat,Palson,29.301889,80.080028,Rock Slide 2010
30748,UK/CHA/62C03/2016/89,Uttarakhand,Champawat,Palson,29.302194,80.076639,Rock Slide 2010
30749,UK/NAI/53O11/2015/195,Uttarakhand,Nainital,Kathgodam - Nainital,29.303977,79.533402,Rock Fall NA
30750,UK/NAI/53O11/2015/173,Uttarakhand,Nainital,Mahargaon - Mahanta,29.304,79.69,Debris Slide NA
30751,UK/NAI/53O11/2015/215,Uttarakhand,Nainital,Ranibagh - Bhimtal,29.304143,79.556817,Rock Slide NA
30752,UK/CHA/62C03/2016/78,Uttarakhand,Champawat,Mauntala,29.305361,80.165389,Debris Slide 2005
30753,UK/CHA/62C03/2016/77,Uttarakhand,Champawat,Mauntala,29.305389,80.167389,Rock Fall 2005
30754,UK/NAI/53O15/2016/80,Uttarakhand,Nainital,Kaudiyar,29.307972,79.795056,Rock Slide 2011
30755,UK/NAI/53O11/2015/225,Uttarakhand,Nainital,Kathgodam - Bhimtal,29.309041,79.550677,Rock Slide NA
30756,UK/NAI/53O11/2015/150,Uttarakhand,Nainital,Jamrani - Kotbanna,29.310434,79.591749,Rock Slide NA
30757,UK/NAI/53O11/2015/169,Uttarakhand,Nainital,Ranibagh - Banana,29.310472,79.624443,Rock Slide NA
30758,UK/NAI/53O11/2015/211,Uttarakhand,Nainital,Kathgodam - Nainital,29.312921,79.532425,Rock Slide NA
30759,UK/NAI/53O11/2015/209,Uttarakhand,Nainital,Ranibagh - Bhimtal,29.313056,79.553413,Rock Slide NA
30760,UK/NAI/53O07/2015/60,Uttarakhand,Nainital,Kaladhungi - Nainital,29.313058,79.343157,Rock Slide NA
30761,UK/CHA/53O15/2016/32,Uttarakhand,Champawat,Kanyura,29.313359,79.969917,Rock Slide 2013
30762,UK/NAI/53O11/2015/229,Uttarakhand,Nainital,Bohara - Shalani,29.3139,79.632328,Rock Slide NA
30763,UK/CHA/53O15/2016/19,Uttarakhand,Champawat,Kanyura,29.314,79.962306,Rock Slide 2013
30764,UK/NAI/53O07/2015/111,Uttarakhand,Nainital,Kaladhungi - Nainital,29.315465,79.345577,Debris Slide NA
30765,UK/NAI/53O15/2016/81,Uttarakhand,Nainital,Bhadrakot,29.315472,79.787917,Debris Slide 2016
30766,UK/NAI/53O15/2016/82,Uttarakhand,Nainital,Bhadrakot,29.316222,79.789056,Rock Slide 2016
30767,UK/NAI/53O07/2015/63,Uttarakhand,Nainital,Nainital - Kaladhungi,29.317,79.344,Rock Slide NA
30768,UK/NAI/53O07/2015/141,Uttarakhand,Nainital,Nainital - Chopra,29.317407,79.491366,Debris Slide NA
30769,UK/NAI/53O11/2015/154,Uttarakhand,Nainital,Bhimtal - Malwatal,29.317669,79.591454,Rock Slide NA
30770,UK/NAI/53O11/2015/200,Uttarakhand,Nainital,Mahargaon - Mahanta,29.317778,79.691472,Rock Slide NA
30771,UK/CHA/62C03/2016/69,Uttarakhand,Champawat,Sipti,29.318203,80.030876,Rock Slide 2010
30772,UK/NAI/53O07/2015/134,Uttarakhand,Nainital,Nainital - Kaladhungi,29.318347,79.355657,Debris Slide NA
30773,UK/NAI/53O07/2015/113,Uttarakhand,Nainital,Nainital - Chopra,29.318462,79.487917,Rock Slide NA
30774,UK/NAI/53O11/2015/205,Uttarakhand,Nainital,Mahargaon - Mahanta,29.318667,79.690694,Rock Slide NA
30775,UK/NAI/53O07/2015/142,Uttarakhand,Nainital,Nainital - Chopra,29.319049,79.492545,Rock Slide NA
30776,UK/CHA/53O15/2016/20,Uttarakhand,Champawat,Kanyura,29.319111,79.962139,Rock Slide 2013
30777,UK/NAI/53O07/2015/124,Uttarakhand,Nainital,Nainital - Kaladhungi,29.31929,79.354259,Rock Slide NA
30778,UK/NAI/53O07/2015/137,Uttarakhand,Nainital,Nainital - Kaladhungi,29.319608,79.360541,Rock Slide NA
30779,UK/NAI/53O07/2015/123,Uttarakhand,Nainital,Nainital - Kaladhungi,29.32,79.352,Rock Slide NA
30780,UK/NAI/53O11/2015/159,Uttarakhand,Nainital,Kathgodam - Nainital,29.320736,79.544461,Rock Slide NA
30781,UK/CHA/53O15/2016/21,Uttarakhand,Champawat,Kanyura,29.320778,79.960278,Rock Slide 2014
30782,UK/NAI/53O11/2015/163,Uttarakhand,Nainital,Kathgodam - Nainital,29.321059,79.530557,Rock Slide NA
30783,UK/NAI/53O15/2016/83,Uttarakhand,Nainital,Bhadrakot,29.321278,79.778944,Debris Slide 2013
30784,UK/NAI/53O11/2015/161,Uttarakhand,Nainital,Mahargaon - Mahanta,29.3216,79.647687,Rock Slide NA
30785,UK/CHA/62C03/2016/72,Uttarakhand,Champawat,Chyurikhark,29.323184,80.059396,Debris Slide 2014
30786,UK/CHA/62C03/2016/71,Uttarakhand,Champawat,Chyurikhark,29.323333,80.058417,Debris Slide 2014
